gid_0,name_0,score,cat,label
CYP,Cyprus,5.0,4.0,Extremely High (>80%)
BEL,Belgium,4.409913336,4.0,Extremely High (>80%)
GRC,Greece,3.959727488,3.0,High (40-80%)
ESP,Spain,3.623649194,3.0,High (40-80%)
ITA,Italy,3.318223979,3.0,High (40-80%)
PRT,Portugal,3.241317524,3.0,High (40-80%)
LUX,Luxembourg,2.933028268,2.0,Medium - High (20-40%)
LTU,Lithuania,2.153786505,2.0,Medium - High (20-40%)
DEU,Germany,2.051544436,2.0,Medium - High (20-40%)
FRA,France,1.929524162,1.0,Low - Medium (10-20%)
CZE,Czech Republic,1.859114292,1.0,Low - Medium (10-20%)
POL,Poland,1.650141884,1.0,Low - Medium (10-20%)
SVK,Slovakia,1.61808539,1.0,Low - Medium (10-20%)
NLD,Netherlands,1.584415435,1.0,Low - Medium (10-20%)
BGR,Bulgaria,1.464547771,1.0,Low - Medium (10-20%)
ROU,Romania,1.40875578,1.0,Low - Medium (10-20%)
EST,Estonia,1.20652956,1.0,Low - Medium (10-20%)
DNK,Denmark,0.945390369,0.0,Low (<10%)
FIN,Finland,0.789855024,0.0,Low (<10%)
SWE,Sweden,0.603499926,0.0,Low (<10%)
SVN,Slovenia,0.542718164,0.0,Low (<10%)
LVA,Latvia,0.538069009,0.0,Low (<10%)
HUN,Hungary,0.430660849,0.0,Low (<10%)
IRL,Ireland,0.311762242,0.0,Low (<10%)
AUT,Austria,0.257614829,0.0,Low (<10%)
HRV,Croatia,0.16533865,0.0,Low (<10%)
MLT,Malta,-9999.0,-9999.0,NoData
