gid_0,gid_1,name_0,name_1,score,cat,label
BEL,BEL.1_1,Belgium,Bruxelles,5.0,4.0,Extremely High (>80%)
CYP,CYP.1_1,Cyprus,Famagusta,5.0,4.0,Extremely High (>80%)
CYP,CYP.2_1,Cyprus,Larnaca,5.0,4.0,Extremely High (>80%)
CYP,CYP.3_1,Cyprus,Limassol,5.0,4.0,Extremely High (>80%)
CYP,CYP.4_1,Cyprus,Nicosia,5.0,4.0,Extremely High (>80%)
CYP,CYP.5_1,Cyprus,Paphos,5.0,4.0,Extremely High (>80%)
GRC,GRC.4_1,Greece,Crete,5.0,4.0,Extremely High (>80%)
ITA,ITA.3_1,Italy,Basilicata,5.0,4.0,Extremely High (>80%)
ITA,ITA.4_1,Italy,Calabria,5.0,4.0,Extremely High (>80%)
ESP,ESP.13_1,Spain,Islas Baleares,5.0,4.0,Extremely High (>80%)
ESP,ESP.18_1,Spain,RegiÃ³n de Murcia,5.0,4.0,Extremely High (>80%)
ITA,ITA.15_1,Italy,Sicily,5.0,4.0,Extremely High (>80%)
GRC,GRC.1_1,Greece,Aegean,4.998845709,4.0,Extremely High (>80%)
ITA,ITA.2_1,Italy,Apulia,4.958649443,4.0,Extremely High (>80%)
GRC,GRC.8_1,Greece,Thessaly and Central Greece,4.733674904,4.0,Extremely High (>80%)
PRT,PRT.17_1,Portugal,SetÃºbal,4.715237457,4.0,Extremely High (>80%)
ESP,ESP.1_1,Spain,AndalucÃ­a,4.602226925,4.0,Extremely High (>80%)
ITA,ITA.5_1,Italy,Campania,4.601689154,4.0,Extremely High (>80%)
BEL,BEL.2_1,Belgium,Vlaanderen,4.589343887,4.0,Extremely High (>80%)
ESP,ESP.8_1,Spain,Comunidad de Madrid,4.549144392,4.0,Extremely High (>80%)
GRC,GRC.3_1,Greece,Attica,4.529772429,4.0,Extremely High (>80%)
GRC,GRC.7_1,Greece,"Peloponnese, Western Greece and the Ionian Islands",4.526926782,4.0,Extremely High (>80%)
PRT,PRT.9_1,Portugal,Faro,4.48605557,4.0,Extremely High (>80%)
ITA,ITA.8_1,Italy,Lazio,4.47982622,4.0,Extremely High (>80%)
ITA,ITA.11_1,Italy,Marche,4.448690988,4.0,Extremely High (>80%)
ITA,ITA.18_1,Italy,Umbria,4.362075963,4.0,Extremely High (>80%)
ITA,ITA.16_1,Italy,Toscana,4.205129729,4.0,Extremely High (>80%)
ESP,ESP.10_1,Spain,Comunidad Valenciana,4.18906048,4.0,Extremely High (>80%)
ESP,ESP.4_1,Spain,Castilla-La Mancha,4.169021831,4.0,Extremely High (>80%)
ITA,ITA.12_1,Italy,Molise,4.145150589,4.0,Extremely High (>80%)
BEL,BEL.3_1,Belgium,Wallonie,4.124949988,4.0,Extremely High (>80%)
